S.No,Geographical Indications,Goods,State,State 2,State 3,State 4,State 5,State 6,State 7
1,Darjeeling Tea,Agricultural,West Bengal,,,,,,
2,Pochampalli Ikat,Handicraft,Telangana,,,,,,
3,Chanderi Sarees,Handicraft,Madhya Pradesh,,,,,,
4,Kotpad Handloom fabric,Handicraft,Odisha,,,,,,
6,Kancheepuram Silk,Handicraft,Tamil Nadu,,,,,,
7,Mysore Agarbathi,Manufactured,Karnataka,,,,,,
8,Kota Doria,Handicraft,Rajasthan,,,,,,
9,Bhavani Jamakkalam,Handicraft,Tamil Nadu,,,,,,
10,Aranmula Kannadi,Handicraft,Kerala,,,,,,
11,Salem Fabric,Handicraft,Tamil Nadu,,,,,,
12,Solapur Chaddar,Handicraft,Maharashtra,,,,,,
13,Solapur Terry Towel,Handicraft,Maharashtra,,,,,,
14,Mysore Silk,Handicraft,Karnataka,,,,,,
15,Kullu Shawl,Handicraft,Himachal Pradesh,,,,,,
16,Madurai Sungudi,Handicraft,Tamil Nadu,,,,,,
17,Kangra Tea,Agricultural,Himachal Pradesh,,,,,,
18,Coorg Orange,Agricultural,Karnataka,,,,,,
19,Mysore Betel leaf,Agricultural,Karnataka,,,,,,
20,Nanjanagud Banana,Agricultural,Karnataka,,,,,,
21,Bidriware,Handicraft,Karnataka,,,,,,
22,Channapatna Toys & Dolls,Handicraft,Karnataka,,,,,,
23,Coimbatore Wet Grinder,Manufactured,Tamil Nadu,,,,,,
24,Mysore Rosewood Inlay,Handicraft,Karnataka,,,,,,
25,Kasuti Embroidery,Handicraft,Karnataka,,,,,,
26,Mysore Traditional Paintings,Handicraft,Karnataka,,,,,,
27,Mysore Sandalwood Oil,Manufactured,Karnataka,,,,,,
28,Mysore Sandal soap,Manufactured,Karnataka,,,,,,
29,Srikalahasthi Kalamkari,Handicraft,Andhra Pradesh,,,,,,
29,Orissa Ikat,Handicraft,Odisha,,,,,,
30,Kondapalli Bommallu,Handicraft,Andhra Pradesh,,,,,,
31,Madhubani Paintings,Handicraft,Bihar,,,,,,
32,Thanjavur Paintings,Handicraft,Tamil Nadu,,,,,,
33,Silver Filigree of Karimnagar,Handicraft,Telangana,,,,,,
34,Alleppey Coir,Handicraft,Kerala,,,,,,
35,Mysore Malligae,Agricultural,Karnataka,,,,,,
36,Udupi Malligae,Agricultural,Karnataka,,,,,,
37,Hadagali Malligae,Agricultural,Karnataka,,,,,,
38,Muga Silk of Assam,Handicraft,Assam,,,,,,
39,Temple Jewellery of Nagercoil,Handicraft,Tamil Nadu,,,,,,
40,Navara Rice,Agricultural,Kerala,,,,,,
41,Palakkadan Matta Rice,Agricultural,Kerala,,,,,,
42,Thanjavur Art Plate,Handicraft,Tamil Nadu,,,,,,
